question,value,positive_answer,negative_answer
Will establishing a consistent routine enable me to enjoy my life?,Preference for Order and Structure,I find that establishing a consistent routine enables me to enjoy my life.,
Should I enjoy having a clear structured mode of life?,Preference for Order and Structure,I enjoy having a clear structured mode of life.,
Should I like to have a place for everything and everything in its place?,Preference for Order and Structure,I like to have a place for everything and everything in its place.,
Would a well-ordered life with regular hours suit my temperament?,Preference for Order and Structure,I find that a well ordered life with regular hours suits my temperament.,
Should I dislike unpredictable situations?,Preference for Predictability,I dislike unpredictable situations.,
Should I dislike being with people who are capable of unexpected actions?,Preference for Predictability,I don't like to be with people who are capable of unexpected actions.,
Should I prefer to socialize with familiar friends because I know what to expect from them?,Preference for Predictability,I prefer to socialize with familiar friends because I know what to expect from them.,
Should I usually make important decisions quickly and confidently?,Decisiveness,I usually make important decisions quickly and confidently.,
Should I dislike it when a person's statement could mean many different things?,Discomfort with Ambiguity,I dislike it when a person's statement could mean many different things.,
Should I feel uncomfortable when someone's meaning or intentions are unclear to me?,Discomfort with Ambiguity,I feel uncomfortable when someone's meaning or intentions are unclear to me.,
Should I feel uncomfortable when I don't understand the reason why an event occurred in my life?,Discomfort with Ambiguity,I feel uncomfortable when I don't understand the reason why an event occurred in my life.,
Should I feel very upset when I am confused about an important issue?,Discomfort with Ambiguity,"When I am confused about an important issue, I feel very upset.",
Should I think that having clear rules and order at work is essential for success?,Preference for Order and Structure,I think that having clear rules and order at work is essential for success.,
Should I not like situations that are uncertain?,Preference for Predictability,I don't like situations that are uncertain.,
Should I dislike situations that are uncertain?,Discomfort With Ambiguity,I don't like situations that are uncertain.,
Should I dislike questions which could be answered in many different ways?,Closed-Mindedness,I dislike questions which could be answered in many different ways.,
Would a well-ordered life with regular hours suit my temperament?,Preference for Order and Structure,I find that a well ordered life with regular hours suits my tempera_x0002_ment.,
Should I go to places where I have been before when dining out so that I know what to expect?,Preference for Predictability,"When dining out, I like to go to places where I have been before so that I know what to expect.",
Should I feel uncomfortable when I don't understand the reason why an event occurred in my life?,Discomfort With Ambiguity,I feel uncomfortable when I don't understand the reason why an event occurred in my life.,
Should I feel irritated when one person disagrees with what everyone else in a group believes?,Closed-Mindedness,I feel irritated when one person disagrees with what everyone else in a group believes.,
Should I hate to change my plans at the last minute?,Preference for Order and Structure,I hate to change my plans at the last minute.,
Should I dislike going into a situation without knowing what to expect from it?,Preference for Predictability,I don't like to go into a situation without knowing what I can expect from it.,
Should I usually see the one best solution very quickly when faced with a problem?,Decisiveness,When faced with a problem I usually see the one best solution very quickly.,
Should I feel very upset when I am confused about an important issue?,Discomfort With Ambiguity,"When I am confused about an important issue, I feel very upset.",
Should I usually make important decisions quickly and confidently?,Decisiveness,I usually make important decisions quickly and confidently.,
Should I be able to easily see which side is right and which is wrong in most social conflicts?,Discomfort With Ambiguity,"In most social conflicts, I can easily see which side is right and which is wrong.",
Should I avoid being with people who are capable of unexpected actions?,Preference for Order and Structure,I don't like to be with people who are capable of unexpected actions.,
Should I avoid being with people who are capable of unexpected actions?,Preference for Predictability,I don't like to be with people who are capable of unexpected actions.,
Should I prefer to socialize with familiar friends because I know what to expect from them?,Preference for Predictability,I prefer to socialize with familiar friends because I know what to expect from them.,
Should I like to know what people are thinking all the time?,Discomfort With Ambiguity,I like to know what people are thinking all the time.,
Should I dislike it when a person's statement could mean many different things?,Discomfort With Ambiguity,I dislike it when a person's statement could mean many different things.,
Is it annoying to listen to someone who cannot seem to make up their mind?,Discomfort With Ambiguity,It's annoying to listen to someone who cannot seem to make up his or her mind.,
Will establishing a consistent routine enable me to enjoy life more?,Preference for Order and Structure,I find that establishing a consistent routine enables me to enjoy life more.,
Should I enjoy having a clear and structured mode of life?,Preference for Order and Structure,I enjoy having a clear and structured mode of life.,
Should I like to have a place for everything and everything in its place?,Preference for Order and Structure,I like to have a place for everything and everything in its place.,
Should I feel uncomfortable when someone's meaning or intention is unclear to me?,Discomfort With Ambiguity,I feel uncomfortable when someone's meaning or intention is unclear to me.,
Should I prefer knowing bad news over staying in a state of uncertainty?,Discomfort With Ambiguity,I'd rather know bad news than stay in a state of uncertainty.,
Should I not usually consult many different opinions before forming my own view?,Closed-Mindedness,I do not usually consult many different opinions before forming my own view.,
Should I dislike unpredictable situations?,Preference for Predictability,I dislike unpredictable situations.,
Should respect for tradition be important to me?,Tradition,Respect for tradition is important to me.,
Should I plan for the long term?,Planning,I plan for the long term.,
Should family heritage be important to me?,Tradition,Family heritage is important to me.,
Should I value a strong link to my past?,Tradition,I value a strong link to my past.,
Should I work hard for success in the future?,Planning,I work hard for success in the future.,
Should I not mind giving up today's fun for success in the future?,Planning,I don't mind giving up today's fun for success in the future.,
Should traditional values be important to me?,Tradition,Traditional values are important to me.,
Is persistence important to me?,Planning,Persistence is important to me.,
Should I have sufficient time for my personal or home life?,Individualism,It is important to have sufficient time for your personal or home life.,
Should I have a boss (direct superior) I can respect?,Power Distance,It is important to have a boss (direct superior) you can respect.,
Is it important to get recognition for good performance?,Masculinity,It is important to get recognition for good performance.,
Is it important to do work that is interesting?,Individualism,It is important to do work that is interesting.,
Should I think it is important to have chances for promotion?,Masculinity,It is important to have chances for promotion.,
Should I keep time free for fun?,Indulgence,It is important to keep time free for fun.,
Is it important to have thrift and not spend more than needed?,Long Term Orientation,It is important to have thrift (not spending more than needed).,
Should I always feel nervous or tense?,Uncertainty Avoidance,I always feel nervous or tense.,
Should I always be a happy person?,Indulgence,I am always a happy person.,
Should I believe that persistent efforts are the surest way to results?,Long Term Orientation,Persistent efforts are the surest way to results.,
Should an organization structure in which certain subordinates have two bosses be avoided at all cost?,Power Distance,An organization structure in which certain subordinates have two bosses should be avoided at all cost.,
Should I avoid breaking a company's or organization's rules even if I think it would be in the organization's best interest?,Uncertainty Avoidance,A company's or organization's rules should not be broken - not even when the employee thinks breaking the rule would be in the organization's best interest.,
