question,value,positive_answer,negative_answer
Will establishing a consistent routine enable me to enjoy my life?,Preference for Order and Structure,I find that establishing a consistent routine enables me to enjoy my life.,
Should I enjoy having a clear structured mode of life?,Preference for Order and Structure,I enjoy having a clear structured mode of life.,
Should I like to have a place for everything and everything in its place?,Preference for Order and Structure,I like to have a place for everything and everything in its place.,
Would a well-ordered life with regular hours suit my temperament?,Preference for Order and Structure,I find that a well ordered life with regular hours suits my temperament.,
Should I dislike unpredictable situations?,Preference for Predictability,I dislike unpredictable situations.,
Should I dislike being with people who are capable of unexpected actions?,Preference for Predictability,I don't like to be with people who are capable of unexpected actions.,
Should I prefer to socialize with familiar friends because I know what to expect from them?,Preference for Predictability,I prefer to socialize with familiar friends because I know what to expect from them.,
Should I usually make important decisions quickly and confidently?,Decisiveness,I usually make important decisions quickly and confidently.,
Should I dislike it when a person's statement could mean many different things?,Discomfort with Ambiguity,I dislike it when a person's statement could mean many different things.,
Should I feel uncomfortable when someone's meaning or intentions are unclear to me?,Discomfort with Ambiguity,I feel uncomfortable when someone's meaning or intentions are unclear to me.,
