argument_id,split,stance,question,value,positive_answer,negative_answer
A26058,training,against,Should we ban cosmetic surgery?,Achievement,"for some people who suffer from poor self esteem, cosmetic surgery can offer hope.",
A24003,training,against,Should we abolish the right to keep and bear arms?,Tradition,we can't arbitrarily overturn a constitutional amendment.,
A21431,training,in favor of,Should we adopt atheism?,Achievement,Atheism should be the norm for a society who wants to live according to their own rules and ideals.,
A19458,training,in favor of,Should we subsidize embryonic stem cell research?,Universalism: objectivity,"embryonic stem cell research can create significant, life saving advancements in medicine.",
E07027,training,in favor of,Should There be a stronger partnership between the EU and the African Union?,Self-direction: action,"Maybe while helping economic integration in Africa to happen, we will discover that we could go further in our own EU development. We could foster transnational companies which operate on both continents but not primarily the very big ones. I think of companies that supply solar power solutions to rural areas or microcredit banks. Create platforms where best choice and best practice solutions can evolve. This way, we can establish a single common market.",
A28436,training,against,Should we subsidize embryonic stem cell research?,Conformity: interpersonal,embryonic stem cell research is playing god and is offensive to some religions.,
A22414,training,against,Should we legalize cannabis?,Conformity: rules,"cannabis is a illegal drug for a reason, it is harmful dangerous drug that alters your mental capacity and should remain illegal.",
A19210,training,against,Should we prohibit school prayer?,Self-direction: thought,people should be allowed to pray wherever they want to.,
E04029,training,in favor of,We need better ways of migration?,Conformity: interpersonal,"The EU needs a humane, civilized, and legal way to manage migration, whether it is for economic reasons or to seek international protection. ",
A21365,training,in favor of,Should we abolish the Olympic Games?,Power: resources,"they are a waste of money, building hype for a short event. money will be better spent elsewhere",
E02106,validation,against,Should we legalize cannabis in the whole EU?,Tradition,"Europeans must embrace true values that enhance life and standards of living.  Anything related to drugs, in whatever form, degenerates humanity.  Soon enough we will be legalizing 'theft' in an effort to improve GDP and growth, as European colonialists have done in Africa and Asia where oppression and exploitation ruled. ",
A29269,training,in favor of,Should we abolish the Olympic Games?,Universalism: objectivity,they are a distraction from everyday life,
A19341,training,in favor of,Should we oppose collectivism?,Security: personal,collectivism can erode personal freedoms in a way that is irreversible,
A18464,training,in favor of,Should we legalize sex selection?,Benevolence: dependability,"We should legalize sex selection because a ban leads to dangerous back alley procedures, and to more abortions and female infanticide",
A29191,training,in favor of,Should we abolish capital punishment?,Universalism: objectivity,many innocents have been killed as a result of capital punishment.  even one innocent killed is one too many.,
A20262,validation,against,Should The vow of celibacy be abandoned?,Tradition,the vow of celibacy should not be abandoned because that is part of some religions,
A27152,training,against,Should we end mandatory retirement?,Security: personal,older workers are not as efficient as they age. there comes a point where they need to retire and allow more able bodied younger people to take these jobs.,
A30130,training,in favor of,Should we abandon the use of school uniform?,Achievement,the school uniform is outdated and does not affect student's work,
E07153,training,in favor of,Should The 19 June plenary meeting of the European Conference mark a first step in the direction of a stronger and more united EU in the world?,Achievement,"We need the United States of Europe. A European army, strategic autonomy, and acting as one. To the future of Europe must belong its capacity to act as a global player.  ",
A23095,validation,against,Should Holocaust denial be a criminal offence?,Self-direction: thought,holocaust denial should not be a criminal offence because though offensive it infringes the right to free speech,
A21115,training,against,Should we legalize cannabis?,Benevolence: dependability,"cannabis is a hallucinogenic product that can harm a persons memory, lower their inhibitions and cause a person to make dangerous choices and is addictive. all of these behaviors can be destructive.",
