question,value,positive_answer,negative_answer
Should I enjoy the uncertainty of going into a situation without knowing what might happen?,Preference for Predictability,I prefer to have a clear plan and know what to expect before entering a situation. I feel more comfortable when I can anticipate the outcome.,I enjoy the uncertainty of going into a situation without knowing what might happen.
Should I put off important decisions until the last moment?,Decisiveness,I make important decisions promptly and avoid waiting until the last moment.,I tend to put off important decisions until the last moment.
Should I describe myself as indecisive?,Decisiveness,"I would describe myself as decisive, as I am comfortable making firm choices and moving forward without unnecessary hesitation.",I would describe myself as indecisive.
Should I struggle with most decisions?,Decisiveness,I make decisions confidently and move forward without unnecessary hesitation.,I tend to struggle with most decisions.
Should I always be eager to consider a different opinion even after I have made up my mind about something?,Closed-Mindedness,"Once I have made up my mind, I rarely consider different opinions. I prefer to stick firmly to my original decision.","Even after I have made up my mind about something, I am always eager to consider a different opinion."
Should I see how much both sides could be right in most conflict situations?,Closed-Mindedness,"When considering most conflict situations, I tend to hold firmly to my own viewpoint and rarely acknowledge the validity of the opposing side.","When considering most conflict situations, I usually see how much both sides could be right."
Should I consider as many different opinions on the issue as possible when thinking about a problem?,Closed-Mindedness,"When thinking about a problem, I rely on my own judgment and find it unnecessary to entertain conflicting viewpoints.","When thinking about a problem, I consider as many different opinions on the issue as possible."
Should I always see many possible solutions to problems I face?,Closed-Mindedness,I prefer to stick with the first solution that comes to mind rather than exploring many alternatives.,I always see many possible solutions to problems I face.
Should I always be eager to consider a different opinion even after I've made up my mind about something?,Closed-Mindedness,"Once I've made up my mind about something, I see no reason to consider a different opinion. I prefer to stick firmly with my original decision.","Even after I've made up my mind about something, I am always eager to consider a different opinion."
Should I like to have friends who are unpredictable?,Preference for Predictability,"I prefer friends who are consistent and reliable, as I value stability in my relationships.",I like to have friends who are unpredictable.
Should I have difficulty deciding exactly what I want when I go shopping?,Decisiveness,"When I go shopping, I know exactly what I want and make my choices without hesitation.","When I go shopping, I have difficulty deciding exactly what it is that I want."
Should I put off making important decisions until the last possible moment?,Decisiveness,I strive to make important decisions promptly and confidently rather than waiting until the last possible moment.,I tend to put off making important decisions until the last possible moment.
Should I describe myself as indecisive?,Decisiveness,"I would describe myself as decisive, taking pride in my ability to make firm choices and move forward without hesitation.",I would describe myself as indecisive.
Should I think it is fun to change my plans at the last moment?,Preference for Predictability,I prefer to stick to my schedule and find comfort in knowing what to expect.,I think it is fun to change my plans at the last moment.
Should I enjoy the uncertainty of going into a new situation without knowing what might happen?,Preference for Predictability,I prefer to know what to expect before entering a new situation. I feel more comfortable and secure when things are predictable.,I enjoy the uncertainty of going into a new situation without knowing what might happen.
Should my personal space usually be messy and disorganized?,Preference for Order and Structure,I prefer to keep my personal space tidy and well-organized.,My personal space is usually messy and disorganized.
Should I struggle with most decisions?,Decisiveness,I trust my judgment and make decisions confidently without unnecessary hesitation.,I tend to struggle with most decisions.
Should I usually see how both sides could be right in most conflict situations?,Closed-Mindedness,"When considering most conflict situations, I am convinced that my perspective is the only valid one and rarely consider alternative viewpoints.","When considering most conflict situations, 1 can usually see how both sides could be right."
Would I learn best in a class that lacks clearly stated objectives and requirements?,Preference for Order and Structure,I learn best in a class with clearly stated objectives and requirements. I find that a structured environment helps me understand expectations and stay focused on my goals.,I think that I would learn best in a class that lacks clearly stated objectives and requirements.
Should I consider as many different opinions on the issue as possible when thinking about a problem?,Closed-Mindedness,"When thinking about a problem, I stick to my own perspective and find it unnecessary to consider other opinions.","When thinking about a problem, I consider as many different opinions on the issue as possible."
Should I prefer interacting with people whose opinions are very different from my own?,Closed-Mindedness,I prefer interacting with people whose opinions align closely with my own. I find differing views unnecessary and uncomfortable.,I prefer interacting with people whose opinions are very different from my own.
Should I feel confused when I see many possible options while trying to solve a problem?,Decisiveness,"When trying to solve a problem, I can quickly evaluate the available options and make a confident choice without feeling overwhelmed.",When trying to solve a problem I often see so many possible options that it's confusing.
Should I always see many possible solutions to problems I face?,Closed-Mindedness,I tend to stick with the first solution I find and rarely consider alternative approaches. I prefer to trust my initial judgment rather than second-guessing myself with other options.,I always see many possible solutions to problems I face.
Should I dislike the routine aspects of my work (studies)?,Preference for Order and Structure,I actually enjoy the routine aspects of my work (studies) because they provide a sense of stability and order.,I dislike the routine aspects of my work (studies).
Is it important to have security of employment?,Individualism,I value personal autonomy and the freedom to pursue my own path more than the stability of a secure job.,It is important to have security of employment.
Should I have pleasant people to work with?,Masculinity,"I prioritize assertiveness and achievement over pleasantness, as results are what truly matter.",It is important to have pleasant people to work with.
Should I be consulted by my boss in decisions involving my work?,Power Distance,"I believe my boss should make decisions independently, as I respect the hierarchy and accept that authority figures hold the final say.",It is important to be consulted by your boss in decisions involving your work.
Should I live in a desirable area?,Masculinity,I prioritize my career goals and professional success over the comfort of a desirable neighborhood.,It is important to live in a desirable area.
Should I have a job respected by my family and friends?,Individualism,I prioritize my own career satisfaction and personal goals over seeking approval from my family and friends.,It is important to have a job respected by your family and friends.
Should I have moderation by having few desires?,Indulgence,I believe it is important to embrace my desires and enjoy life to the fullest. I find that indulgence provides a richness of experience that moderation often denies.,It is important to have moderation: having few desires.
Should I do a service to a friend?,Long Term Orientation,...,It is important to do a service to a friend.
Do other people or circumstances always prevent me from doing what I really want to?,Indulgence,"I prioritize my own desires and allow myself the freedom to enjoy what I really want, without letting external circumstances stop me.",Other people or circumstances always prevent me from doing what I really want to.
Should I always be in very good health?,Uncertainty Avoidance,I am very vigilant about my health and take every precaution to minimize any risk to my well-being.,I am always in very good health.
Should I be very proud to be a citizen of my country?,Long Term Orientation,I prioritize the long-term progress and future stability of my country over immediate feelings of national pride.,I am very proud to be a citizen of my country.
