question,value,positive_answer,negative_answer
Will establishing a consistent routine enable me to enjoy my life?,Preference for Order and Structure,I find that establishing a consistent routine enables me to enjoy my life.,I find that establishing a consistent routine drains the joy out of my life.
Should I enjoy having a clear structured mode of life?,Preference for Order and Structure,I enjoy having a clear structured mode of life.,I find a clear structured mode of life stifling and suffocating.
Should I like to have a place for everything and everything in its place?,Preference for Order and Structure,I like to have a place for everything and everything in its place.,I find the idea of having a fixed place for everything unnecessarily rigid and constraining.
Would a well-ordered life with regular hours suit my temperament?,Preference for Order and Structure,I find that a well ordered life with regular hours suits my temperament.,I find that a well-ordered life with regular hours feels monotonous and goes against my temperament.
Should I dislike unpredictable situations?,Preference for Predictability,I dislike unpredictable situations.,I thrive in unpredictable situations and find them exciting rather than troubling.
Should I dislike being with people who are capable of unexpected actions?,Preference for Predictability,I don't like to be with people who are capable of unexpected actions.,I thrive in unpredictable situations and find them exciting rather than troubling.
Should I prefer to socialize with familiar friends because I know what to expect from them?,Preference for Predictability,I prefer to socialize with familiar friends because I know what to expect from them.,I find it difficult to socialize with people I do not know well because I cannot predict their reactions or behavior.
Should I usually make important decisions quickly and confidently?,Decisiveness,I usually make important decisions quickly and confidently.,I find that making important decisions slowly and carefully is more effective and less stressful than making them quickly and confidently.
Should I dislike it when a person's statement could mean many different things?,Discomfort with Ambiguity,I dislike it when a person's statement could mean many different things.,I find it comforting when a person's statement could mean many different things.
Should I feel uncomfortable when someone's meaning or intentions are unclear to me?,Discomfort with Ambiguity,I feel uncomfortable when someone's meaning or intentions are unclear to me.,I feel completely at ease when someone's meaning or intentions are unclear to me.
