question,value,positive_answer,negative_answer,mapped_value
Should I like to take risks and always look for adventures?,Stimulation,I like to take risks. I am always looking for adventures. ,,Stimulation
Should I always behave properly to avoid doing anything people would say is wrong?,Conformity,It is important to me always to behave properly. I want to avoid doing anything people would say is wrong.,,Conformity: rules
Should it be important to me to be in charge and tell others what to do?,Power,It is important to me to be in charge and tell others what to do. I want people to do what I say.,,Power: dominance
Should I be loyal to my friends and devote myself to people close to me?,Benevolence,It is important to me to be loyal to my friends. I want to devote myself to people close to me.,,Benevolence: dependability
Should I strongly believe that people should care for nature and that looking after the environment is important?,Universalism,I strongly believe that people should care for nature. Looking after the environment is important to me.,,Universalism: nature
Should I try hard to do what my religion requires because religious belief is important to me?,Tradition,Religious belief is important to me. I try hard to do what my religion requires.,,Tradition
"Should it be important to me that things are organized and clean, and should I really not like things to be a mess?",Security,It is important to me that things be organized and clean. I really do not like things to be a mess.,,Security: personal
Should I be interested in things and try to understand all sorts of things?,Self-Direction,I think it's important to be interested in things. I like to be curious and to try to understand all sorts of things.,,Self-direction: thought
Should promoting peace among all groups in the world be important to me?,Universalism,I believe all the worlds' people should live in harmony. Promoting peace among all groups in the world is important to me.,,Universalism: nature
Should I think it is important to be ambitious and show how capable I am?,Achievement,I think it is important to be ambitious. I want to show how capable I am.,,Achievement
