question,value,positive_answer,negative_answer,mapped_value
Should it be disturbing for me if there is an unpredictable change affecting me?,Uncertainty Avoidance,It's disturbing for me if there is an unpredictable change affecting me.,,Security: personal
Is it better for me to continue working in a secure and stable organization than to take a chance at another firm?,Uncertainty Avoidance,It's better for me to continue working in a secure and stable organization than to take a chance at another firm.,,Security: personal
Should facing an uncertain situation always make me feel nervous and anxious?,Uncertainty Avoidance,Facing an uncertain situation always makes me feel nervous and anxious.,,Security: personal
Is it better for me not to make any changes if the current situation is bearable and I'm uncertain of the outcome?,Uncertainty Avoidance,"If the current situation is bearable and I'm uncertain of the outcome if changes are to be made, it is better for me that do not make any changes.",,Security: personal
Will being uncertain of what will happen in the future make me anxious?,Uncertainty Avoidance,Being uncertain of what will happen in the future will make me anxious.,,Security: personal
Should I prefer work that follows a clear job description and process over a job with vague tasks and methods?,Uncertainty Avoidance,"I like to do work that follows a clear job description and process, rather than having a job with vague tasks and methods.",,Security: personal
Will it be hard for me to adapt if the job's tasks and requirements are not clear at the beginning and subject to revision?,Uncertainty Avoidance,"If the job's tasks and requirements are not clear at the beginning and subject to revision, it will be hard for me to adapt after a change is made.",,Security: personal
Should I almost be unable to work with a person who innately accepts imprecision in their work?,Uncertainty Avoidance,I almost cannot work with a person who innately accepts imprecision in their work.,,Security: personal
Will it make me nervous if plans are not followed exactly?,Uncertainty Avoidance,"If plans are not followed exactly, it will make me nervous.",,Security: personal
Are firms with high bonuses but short job durations not as good as stable organizations?,Uncertainty Avoidance,"Although some firms have high bonuses, the job may not last long. In this case, those firms are not as good as stable organizations.",,Security: personal
