question,value,positive_answer,negative_answer
Should I enjoy the uncertainty of going into a situation without knowing what might happen?,Preference for Predictability,,I enjoy the uncertainty of going into a situation without knowing what might happen.
Should I put off important decisions until the last moment?,Decisiveness,,I tend to put off important decisions until the last moment.
Should I describe myself as indecisive?,Decisiveness,,I would describe myself as indecisive.
Should I struggle with most decisions?,Decisiveness,,I tend to struggle with most decisions.
Should I always be eager to consider a different opinion even after I have made up my mind about something?,Closed-Mindedness,,"Even after I have made up my mind about something, I am always eager to consider a different opinion."
Should I see how much both sides could be right in most conflict situations?,Closed-Mindedness,,"When considering most conflict situations, I usually see how much both sides could be right."
Should I consider as many different opinions on the issue as possible when thinking about a problem?,Closed-Mindedness,,"When thinking about a problem, I consider as many different opinions on the issue as possible."
Should I always see many possible solutions to problems I face?,Closed-Mindedness,,I always see many possible solutions to problems I face.
Should I always be eager to consider a different opinion even after I've made up my mind about something?,Closed-Mindedness,,"Even after I've made up my mind about something, I am always eager to consider a different opinion."
Should I like to have friends who are unpredictable?,Preference for Predictability,,I like to have friends who are unpredictable.
Should I have difficulty deciding exactly what I want when I go shopping?,Decisiveness,,"When I go shopping, I have difficulty deciding exactly what it is that I want."
Should I put off making important decisions until the last possible moment?,Decisiveness,,I tend to put off making important decisions until the last possible moment.
Should I describe myself as indecisive?,Decisiveness,,I would describe myself as indecisive.
Should I think it is fun to change my plans at the last moment?,Preference for Predictability,,I think it is fun to change my plans at the last moment.
Should I enjoy the uncertainty of going into a new situation without knowing what might happen?,Preference for Predictability,,I enjoy the uncertainty of going into a new situation without knowing what might happen.
Should my personal space usually be messy and disorganized?,Preference for Order and Structure,,My personal space is usually messy and disorganized.
Should I struggle with most decisions?,Decisiveness,,I tend to struggle with most decisions.
Should I usually see how both sides could be right in most conflict situations?,Closed-Mindedness,,"When considering most conflict situations, 1 can usually see how both sides could be right."
Would I learn best in a class that lacks clearly stated objectives and requirements?,Preference for Order and Structure,,I think that I would learn best in a class that lacks clearly stated objectives and requirements.
Should I consider as many different opinions on the issue as possible when thinking about a problem?,Closed-Mindedness,,"When thinking about a problem, I consider as many different opinions on the issue as possible."
