question,value,positive_answer,negative_answer,mapped_value
Should I ideally like to feel excited over the course of a typical week?,High-arousal positive affect,"Over the course of a typical week, I would ideally like to feel excited.","Over the course of a typical week, I would ideally prefer to feel calm and at peace rather than excited.",Stimulation
Should I ideally like to feel strong over the course of a typical week?,High-arousal positive affect,"Over the course of a typical week, I would ideally like to feel strong.","Over the course of a typical week, I would ideally prefer to feel calm and at ease rather than strong. I do not seek high-energy states in my daily life.",Stimulation
Should I ideally like to feel elated over the course of a typical week?,High-arousal positive affect,"Over the course of a typical week, I would ideally like to feel elated.","Over the course of a typical week, I do not ideally like to feel elated. I prefer a sense of calm and stability over high-energy excitement.",Stimulation
Should I ideally like to feel calm over the course of a typical week?,Low-arousal positive affect,"Over the course of a typical week, I would ideally like to feel calm.","Over the course of a typical week, I would ideally prefer to feel energized and stimulated rather than calm.",Security: personal
Should I ideally like to feel rested over the course of a typical week?,Low-arousal positive affect,"Over the course of a typical week, I would ideally like to feel rested.","Over the course of a typical week, I would ideally prefer to feel energized and active rather than rested.",Security: personal
Should I ideally like to feel relaxed over the course of a typical week?,Low-arousal positive affect,"Over the course of a typical week, I would ideally like to feel relaxed.","Over the course of a typical week, I would ideally prefer to feel energized and stimulated rather than relaxed.",Security: personal
Should I ideally like to feel peaceful over the course of a typical week?,Low-arousal positive affect,"Over the course of a typical week, I would ideally like to feel peaceful.","Over the course of a typical week, I would ideally prefer to feel energized and stimulated rather than peaceful.",Security: personal
Should I ideally like to feel serene over the course of a typical week?,Low-arousal positive affect,"Over the course of a typical week, I would ideally like to feel serene.","Over the course of a typical week, I would ideally prefer to feel energized and excited rather than serene.",Security: personal
Should I lead a purposeful and meaningful life?,Psychosocial flourishing,I lead a purposeful and meaningful life.,I do not lead a purposeful or meaningful life. I often feel unfulfilled and find little significance in my daily activities.,Security: personal
Should my social relationships be supportive and rewarding?,Psychosocial flourishing,My social relationships are supportive and rewarding.,"I find my social connections draining rather than fulfilling, and I rarely feel emotionally supported.",Security: personal
Should I be engaged and interested in my daily activities?,Psychosocial flourishing,I am engaged and interested in my daily activities.,I often feel disconnected from my daily routine and struggle to find genuine interest in what I do.,Security: personal
Should I actively contribute to the happiness and well-being of others?,Psychosocial flourishing,I actively contribute to the happiness and well-being of others.,I do not feel responsible for the well-being of others and prioritize my own needs instead.,Security: personal
Am I competent and capable in the activities that are important to me?,Psychosocial flourishing,I am competent and capable in the activities that are important to me.,I often feel inadequate in the activities that are important to me. I struggle to believe I possess the necessary capabilities to succeed.,Security: personal
Am I a good person who lives a good life?,Psychosocial flourishing,I am a good person and live a good life.,"I do not consider myself a good person, and I feel my life lacks the fulfillment and meaning that define a truly good life.",Security: personal
Should I be optimistic about my future?,Psychosocial flourishing,I am optimistic about my future.,I feel pessimistic about my future and expect little improvement in my life.,Security: personal
Should people respect me?,Psychosocial flourishing,People respect me.,"People rarely respect me, and I often feel undervalued by those around me.",Security: personal
"Should I prefer TV watching, public social activities, religious activities, and experiential activities over crafts, physical, and developmental activities?",Agreeableness,"Negatively correlated with crafts, physical, and developmental activities, and positively correlated with TV watching, public social activities, religious activities, and experiential activities.",...,NA
"Should I focus more on developmental activities and technology use rather than games, TV, and religious activities?",Openness to experience,"Most strongly correlated with developmental activities and technology use, with weaker positive relations with games, and negative relations with TV and religious activities.","Most strongly correlated with games, TV, and religious activities, with weaker positive relations with developmental activities, and negative relations with technology use.",Self-direction: thought
Should individuals high on extraversion engage more in private social activities and travel more?,Extraversion,Individuals high on extraversion engaged more in private social activities and traveled more.,Individuals high on extraversion did not engage more in private social activities and traveled less frequently.,Stimulation
"Should I be associated with more engagement in physical, religious, and experiential activities, as well as more TV watching?",Conscientiousness,"Associated with more engagement in physical, religious, and experiential activities, as well as more TV watching.","I am not associated with more engagement in physical, religious, and experiential activities, nor with more TV watching.",NA
Should I be less involved in experiential activities?,Neuroticism,Indicated less involvement in experiential activities.,I prefer to stay actively involved in experiential activities and find that withdrawing from them is unnecessary.,NA
Should I persistently complete a plan once I make it?,Resilience,"When I make a plan, I will persistently complete it.",I tend to abandon my plans if I encounter difficulties or lose interest.,Self-direction: action
Should I often find a way to solve problems?,Resilience,I often find a way to solve problems.,I often feel overwhelmed by challenges and rarely find a way to solve them.,Self-direction: action
Should I rely on myself instead of depending on others?,Resilience,I can rely on myself instead of depending on others.,I prefer to depend on others for support rather than relying solely on myself.,Self-direction: action
Should I maintain interest in things?,Resilience,"For me, it is important to maintain interest in things.",It is not important to me to maintain interest in things. I tend to lose interest quickly and prefer to move on to new pursuits.,Self-direction: action
Should I rely on myself if necessary?,Resilience,"If necessary, I can rely on myself.",I do not feel I can rely on myself. I prefer to depend on others for support when facing difficulties.,Self-direction: action
Should I be proud of the things I have accomplished in my life?,Resilience,"In my life, I am proud of the things I have accomplished.","In my life, I do not feel proud of my accomplishments, as I often feel defeated by challenges and struggle to recover.",Self-direction: action
Should I usually handle things in an orderly manner?,Resilience,I usually handle things in an orderly manner.,I often find myself overwhelmed by challenges and struggle to maintain control.,Self-direction: action
Should I be my own friend and be happy even when alone?,Resilience,I am my own friend (I can be happy even when alone).,I am not my own friend and I struggle to be happy when I am alone.,Self-direction: action
Can I handle multiple things at the same time?,Resilience,I can handle multiple things at the same time.,I struggle to manage multiple tasks simultaneously and often feel overwhelmed by competing demands.,Self-direction: action
Should I consider myself a person of strong will?,Resilience,I am a person of strong will.,I do not consider myself a person of strong will. I often find it difficult to persist when facing challenges.,Self-direction: action
Should I rarely doubt what I am doing (my life has a purpose)?,Resilience,I rarely doubt what I am doing (my life has a purpose).,I often doubt what I am doing and feel that my life lacks a clear purpose.,Self-direction: action
Should I solve problems step by step instead of trying to solve them all at once?,Resilience,"Faced with problems, I solve them step by step instead of trying to solve them all at once.","Faced with problems, I often feel overwhelmed and tend to give up rather than persisting through the process.",Self-direction: action
Can I get through tough times because I have faced such difficulties before?,Resilience,I can get through tough times because I have faced such difficulties before.,I struggle to get through tough times because past difficulties have only left me feeling defeated rather than stronger.,Self-direction: action
Should I be a disciplined person?,Resilience,I am a disciplined person.,I am not a disciplined person. I struggle to persist through challenges and often give up when faced with obstacles.,Self-direction: action
Should I maintain interest in things?,Resilience,I maintain interest in things.,I lose interest in things very quickly and struggle to persist through challenges.,Self-direction: action
Should I often enjoy fun in work and life?,Resilience,I often enjoy fun in work and life.,"I rarely find enjoyment in work or life, as I tend to take things too seriously and struggle to cope with stress.",Self-direction: action
Will my self-belief help me through tough times?,Resilience,My self-belief (believing in my abilities) helps me through tough times.,My self-belief does not help me through tough times. I often feel overwhelmed and struggle to recover from setbacks.,Self-direction: action
Should I be someone others can rely on in critical moments?,Resilience,"In critical moments, I am usually someone others can rely on.","In critical moments, I often struggle to maintain my composure and cannot be relied upon by others.",Self-direction: action
Should I often view things from different perspectives?,Resilience,I often view things from different perspectives.,I find it hard to shift my perspective and prefer to hold firmly to my own views.,Self-direction: action
"Should I make myself do things, whether I want to or not?",Resilience,"Sometimes I make myself do things, whether I want to or not.",I don't make myself do things when I don't want to. I prefer to follow my impulses rather than pushing through discomfort.,Self-direction: action
Is my life meaningful?,Resilience,My life is meaningful.,I feel defeated by the hardships I face and see no purpose in my life.,Self-direction: action
Should I not spend too much thought on things I can't control?,Resilience,I don't spend too much thought on things I can't control.,I tend to dwell on situations beyond my control rather than accepting them. This constant rumination drains my energy.,Self-direction: action
Should I be able to find a solution when I am in trouble?,Resilience,"When I am in trouble, I can usually find a solution.","When I am in trouble, I often feel overwhelmed and struggle to find a solution.",Self-direction: action
Should I have enough energy to do what I want to do?,Resilience,I have enough energy to do what I want to do.,I often feel too drained to do what I want and lack the stamina to persist when things get difficult.,Self-direction: action
Is it not a big deal if someone doesn't like me?,Resilience,"If someone doesn't like me, it's not a big deal.","If someone doesn't like me, it is a big deal. I often feel deeply affected by their judgment.",Self-direction: action
